,Date,default
286,2010-04-19,1
287,2010-04-19,1
288,2010-04-21,1
289,2010-04-21,1
290,2010-04-23,1
291,2010-04-23,1
292,2010-04-23,1
293,2010-04-23,1
294,2010-04-23,1
295,2010-04-23,1
296,2010-04-23,1
297,2010-04-23,1
298,2010-04-23,1
299,2010-04-23,1
300,2010-04-23,1
301,2010-04-23,1
302,2010-04-23,1
303,2010-04-23,1
304,2010-04-23,1
305,2010-04-23,1
306,2010-04-23,1
307,2010-04-23,1
308,2010-04-26,1
309,2010-04-28,1
310,2010-04-28,1
311,2010-04-28,1
312,2010-04-28,1
313,2010-04-29,1
314,2010-04-29,1
315,2010-04-29,1
316,2010-04-30,1
317,2010-04-30,1
318,2010-04-30,1
319,2010-04-30,1
320,2010-04-30,1
321,2010-04-30,1
322,2010-04-30,1
323,2010-04-30,1
324,2010-04-30,1
325,2010-04-30,1
326,2010-04-30,1
327,2010-04-30,1
328,2010-04-30,1
329,2010-04-30,1
330,2010-04-30,1
331,2010-04-30,1
332,2010-04-30,1
333,2010-05-03,1
334,2010-05-03,1
335,2010-05-03,1
336,2010-05-03,1
337,2010-05-03,1
338,2010-05-03,1
339,2010-05-05,1
340,2010-05-05,1
341,2010-05-06,1
342,2010-05-07,1
343,2010-05-07,1
344,2010-05-07,1
345,2010-05-07,1
346,2010-05-07,1
347,2010-05-10,1
348,2010-05-10,1
349,2010-05-11,1
350,2010-05-12,1
351,2010-05-12,1
352,2010-05-12,1
353,2010-05-12,1
354,2010-05-13,1
355,2010-05-13,1
356,2010-05-14,1
357,2010-05-14,1
358,2010-05-14,1
359,2010-05-14,1
360,2010-05-14,1
361,2010-05-15,1
362,2010-05-15,1
363,2010-05-16,1
364,2010-05-17,1
365,2010-05-19,1
366,2010-05-21,1
367,2010-05-21,1
368,2010-05-21,1
369,2010-05-21,1
370,2010-05-24,1
371,2010-05-25,1
372,2010-05-27,1
373,2010-05-27,1
374,2010-05-27,1
375,2010-05-27,1
376,2010-05-27,1
377,2010-05-28,1
378,2010-05-28,1
379,2010-05-28,1
380,2010-05-28,1
381,2010-05-28,1
382,2010-05-31,1
383,2010-06-01,1
384,2010-06-01,1
385,2010-06-01,1
386,2010-06-01,1
387,2010-06-01,1
388,2010-06-02,1
389,2010-06-03,1
390,2010-06-04,1
391,2010-06-04,1
392,2010-06-04,1
393,2010-06-04,1
394,2010-06-04,1
395,2010-06-07,1
396,2010-06-07,1
397,2010-06-07,1
398,2010-06-09,1
399,2010-06-09,1
400,2010-06-10,1
401,2010-06-11,1
402,2010-06-11,1
403,2010-06-11,1
404,2010-06-11,1
405,2010-06-14,1
406,2010-06-15,1
407,2010-06-15,1
408,2010-06-16,1
409,2010-06-17,1
410,2010-06-17,1
411,2010-06-18,1
412,2010-06-18,1
413,2010-06-18,1
414,2010-06-18,1
415,2010-06-21,1
416,2010-06-21,1
417,2010-06-22,1
418,2010-06-22,1
419,2010-06-24,1
420,2010-06-25,1
421,2010-06-25,1
422,2010-06-25,1
423,2010-06-27,1
424,2010-06-28,1
425,2010-06-28,1
426,2010-06-28,1
427,2010-06-29,1
428,2010-06-29,1
429,2010-06-29,1
430,2010-06-29,1
431,2010-06-29,1
432,2010-06-29,1
433,2010-06-29,1
434,2010-06-29,1
435,2010-06-29,1
436,2010-06-30,1
437,2010-06-30,1
438,2010-06-30,1
439,2010-06-30,1
440,2010-06-30,1
441,2010-07-01,1
442,2010-07-01,1
443,2010-07-01,1
444,2010-07-01,1
445,2010-07-01,1
446,2010-07-01,1
447,2010-07-01,1
448,2010-07-01,1
449,2010-07-01,1
450,2010-07-05,1
451,2010-07-06,1
452,2010-07-06,1
453,2010-07-06,1
